CustomerID,total_orders,total_revenue,last_purchase_date,recency,avg_order_value,R_score,F_score,M_score,RFM_score,segment,is_inactive,priority
12379,2,852.24,2011-09-19 10:09:00,81,426.12,2,2,3,223,At Risk,0,Monitor
12380,4,2724.8100000000004,2011-11-18 11:27:00,21,681.2025000000001,3,3,4,334,Loyal Customers,0,Low Priority
12381,5,1845.31,2011-12-05 12:44:00,4,369.062,4,3,4,434,Loyal Customers,0,Low Priority
12383,5,1850.56,2011-06-08 08:02:00,184,370.11199999999997,1,3,4,134,Loyal Customers,1,Re-engage High Value
12384,2,585.27,2011-11-11 08:39:00,28,292.635,3,2,2,322,Others,0,Low Priority
12386,2,401.9,2011-01-06 12:37:00,337,200.95,1,2,2,122,At Risk,1,Urgent Recovery
12388,6,2780.66,2011-11-24 12:30:00,15,463.4433333333333,4,4,4,444,Champions,0,Protect
12390,1,549.84,2011-09-21 09:33:00,79,549.84,2,1,2,212,At Risk,0,Monitor
12391,1,460.89,2011-11-18 12:07:00,21,460.89,3,1,2,312,Others,0,Low Priority
12393,4,1582.6,2011-09-28 15:41:00,71,395.65,2,3,3,233,Loyal Customers,0,Low Priority
12394,2,1272.48,2011-10-07 08:08:00,63,636.24,2,2,3,223,At Risk,0,Monitor
12395,12,3018.63,2011-11-20 15:21:00,18,251.5525,3,4,4,344,Loyal Customers,0,Low Priority
12397,2,2409.8999999999996,2011-11-04 09:52:00,35,1204.9499999999998,3,2,4,324,Others,0,Low Priority
12398,1,1635.6599999999999,2011-10-25 10:27:00,45,1635.6599999999999,3,1,3,313,Others,0,Low Priority
12399,4,1108.65,2011-08-12 13:15:00,118,277.1625,2,3,3,233,Loyal Customers,1,Re-engage High Value
12401,1,84.3,2011-02-09 13:50:00,302,84.3,1,1,1,111,At Risk,1,Urgent Recovery
12402,1,225.6,2011-01-20 13:49:00,322,225.6,1,1,1,111,At Risk,1,Urgent Recovery
12403,1,427.7,2011-10-21 10:51:00,49,427.7,3,1,2,312,Others,0,Low Priority
12405,1,1710.39,2011-07-14 08:52:00,148,1710.39,1,1,4,114,At Risk,1,Urgent Recovery
12406,2,3415.3,2011-11-17 19:22:00,21,1707.65,3,2,4,324,Others,0,Low Priority
12407,5,1708.12,2011-10-21 10:11:00,49,341.62399999999997,3,3,4,334,Loyal Customers,0,Low Priority
12408,5,2888.55,2011-11-07 12:27:00,32,577.71,3,3,4,334,Loyal Customers,0,Low Priority
12409,3,11072.67,2011-09-22 10:38:00,78,3690.89,2,3,4,234,Loyal Customers,0,Low Priority
12410,2,693.3299999999999,2011-02-04 10:39:00,308,346.66499999999996,1,2,3,123,At Risk,1,Urgent Recovery
12412,3,1226.88,2011-09-26 10:16:00,74,408.96000000000004,2,3,3,233,Loyal Customers,0,Low Priority
12413,3,758.1,2011-10-04 09:00:00,66,252.70000000000002,2,3,3,233,Loyal Customers,0,Low Priority
12414,3,562.41,2011-05-06 14:51:00,216,187.47,1,3,2,132,Loyal Customers,1,Re-engage High Value
12415,21,124914.53,2011-11-15 14:22:00,23,5948.310952380953,3,4,4,344,Loyal Customers,0,Low Priority
12417,9,3649.1,2011-12-06 14:52:00,2,405.4555555555555,4,4,4,444,Champions,0,Protect
12418,1,668.58,2011-08-19 11:08:00,112,668.58,2,1,2,212,At Risk,1,Urgent Recovery
12420,1,600.39,2011-10-07 08:55:00,63,600.39,2,1,2,212,At Risk,0,Monitor
12421,4,807.04,2011-11-24 09:07:00,15,201.76,4,3,3,433,Loyal Customers,0,Low Priority
12422,3,803.56,2011-09-05 09:48:00,95,267.8533333333333,2,3,3,233,Loyal Customers,1,Re-engage High Value
12423,8,1859.31,2011-12-09 10:10:00,0,232.41375,4,4,4,444,Champions,0,Protect
12424,2,1760.9600000000003,2011-06-30 12:06:00,162,880.4800000000001,1,2,4,124,At Risk,1,Urgent Recovery
12425,1,777.2,2011-09-22 17:31:00,77,777.2,2,1,3,213,At Risk,0,Monitor
12426,1,582.73,2011-05-29 12:26:00,194,582.73,1,1,2,112,At Risk,1,Urgent Recovery
12427,3,825.8,2011-11-18 08:56:00,21,275.26666666666665,3,3,3,333,Loyal Customers,0,Low Priority
12428,9,7956.46,2011-11-14 08:22:00,25,884.0511111111111,3,4,4,344,Loyal Customers,0,Low Priority
12429,4,3750.4,2011-11-30 17:22:00,8,937.6,4,3,4,434,Loyal Customers,0,Low Priority
12430,1,256.4,2011-10-27 15:09:00,42,256.4,3,1,1,311,Others,0,Low Priority
12431,15,6487.45,2011-11-04 11:55:00,35,432.49666666666667,3,4,4,344,Loyal Customers,0,Low Priority
12432,5,5059.32,2011-10-28 11:43:00,42,1011.8639999999999,3,3,4,334,Loyal Customers,0,Low Priority
12433,7,13375.87,2011-12-09 10:02:00,0,1910.8385714285716,4,4,4,444,Champions,0,Protect
12434,2,806.14,2011-09-16 12:38:00,84,403.07,2,2,3,223,At Risk,0,Monitor
12435,2,7829.89,2011-09-21 09:06:00,79,3914.945,2,2,4,224,At Risk,0,Monitor
12436,1,509.01,2011-09-01 12:09:00,99,509.01,2,1,2,212,At Risk,1,Urgent Recovery
12437,18,4951.41,2011-12-08 11:35:00,1,275.0783333333333,4,4,4,444,Champions,0,Protect
12438,2,2906.85,2011-11-25 13:28:00,13,1453.425,4,2,4,424,Others,0,Low Priority
12441,1,173.55,2010-12-08 10:45:00,366,173.55,1,1,1,111,At Risk,1,Urgent Recovery
12442,1,172.06,2011-12-06 14:22:00,2,172.06,4,1,1,411,Others,0,Low Priority
12444,5,5005.46,2011-11-18 13:23:00,20,1001.092,3,3,4,334,Loyal Customers,0,Low Priority
12445,1,133.4,2011-11-17 18:43:00,21,133.4,3,1,1,311,Others,0,Low Priority
12446,1,1002.3100000000001,2011-10-13 12:50:00,57,1002.3100000000001,2,1,3,213,At Risk,0,Monitor
12447,1,476.49,2011-04-10 13:25:00,242,476.49,1,1,2,112,At Risk,1,Urgent Recovery
12448,1,449.45,2011-10-26 13:46:00,43,449.45,3,1,2,312,Others,0,Low Priority
12449,4,4067.29,2011-11-17 13:46:00,21,1016.8225,3,3,4,334,Loyal Customers,0,Low Priority
12450,2,197.88,2011-07-06 14:41:00,155,98.94,1,2,1,121,At Risk,1,Urgent Recovery
12451,5,9035.52,2011-11-29 08:40:00,10,1807.104,4,3,4,434,Loyal Customers,0,Low Priority
12452,2,430.57,2011-11-23 10:28:00,16,215.285,4,2,2,422,Others,0,Low Priority
12453,1,707.09,2011-07-28 14:08:00,133,707.09,2,1,3,213,At Risk,1,Urgent Recovery
12454,1,3528.34,2011-10-14 17:13:00,55,3528.34,2,1,4,214,At Risk,0,Monitor
12455,6,2466.86,2011-09-27 15:31:00,72,411.1433333333334,2,4,4,244,Loyal Customers,0,Low Priority
12456,3,3181.04,2011-10-26 14:41:00,43,1060.3466666666666,3,3,4,334,Loyal Customers,0,Low Priority
12457,7,2363.23,2011-10-04 13:13:00,65,337.6042857142857,2,4,4,244,Loyal Customers,0,Low Priority
12458,2,947.4000000000001,2011-09-29 15:25:00,70,473.70000000000005,2,2,3,223,At Risk,0,Monitor
12461,2,826.88,2011-09-06 16:57:00,93,413.44,2,2,3,223,At Risk,1,Urgent Recovery
12462,2,1189.5900000000001,2011-11-21 09:11:00,18,594.7950000000001,3,2,3,323,Others,0,Low Priority
12463,4,1344.78,2011-10-17 13:44:00,52,336.195,2,3,3,233,Loyal Customers,0,Low Priority
12464,8,1212.05,2011-11-29 13:33:00,9,151.50625,4,4,3,443,Champions,0,Protect
12465,2,742.19,2011-11-22 16:34:00,16,371.095,4,2,3,423,Others,0,Low Priority
12468,2,729.5400000000001,2011-06-05 11:36:00,187,364.77000000000004,1,2,3,123,At Risk,1,Urgent Recovery
12471,30,19824.05,2011-12-07 15:43:00,1,660.8016666666666,4,4,4,444,Champions,0,Protect
12472,7,6572.110000000001,2011-11-07 14:01:00,31,938.8728571428572,3,4,4,344,Loyal Customers,0,Low Priority
12473,5,3938.55,2011-11-10 13:46:00,28,787.71,3,3,4,334,Loyal Customers,0,Low Priority
12474,18,7375.79,2011-11-22 14:39:00,16,409.7661111111111,4,4,4,444,Champions,0,Protect
12475,1,723.38,2011-10-17 10:10:00,53,723.38,2,1,3,213,At Risk,0,Monitor
12476,11,6816.42,2011-11-24 12:40:00,15,619.6745454545454,4,4,4,444,Champions,0,Protect
12477,6,13219.74,2011-11-17 09:51:00,22,2203.29,3,4,4,344,Loyal Customers,0,Low Priority
12478,1,680.99,2011-12-06 09:56:00,3,680.99,4,1,3,413,Others,0,Low Priority
12479,1,527.2,2011-11-28 13:26:00,10,527.2,4,1,2,412,Others,0,Low Priority
12480,4,3281.63,2011-11-11 14:52:00,27,820.4075,3,3,4,334,Loyal Customers,0,Low Priority
12481,10,5596.320000000001,2011-11-17 08:29:00,22,559.6320000000001,3,4,4,344,Loyal Customers,0,Low Priority
12483,8,2484.98,2011-11-22 17:02:00,16,310.6225,4,4,4,444,Champions,0,Protect
12484,6,4541.72,2011-11-07 11:37:00,32,756.9533333333334,3,4,4,344,Loyal Customers,0,Low Priority
12488,3,1298.66,2011-11-30 08:50:00,9,432.8866666666667,4,3,3,433,Loyal Customers,0,Low Priority
12489,1,334.93,2011-01-07 13:13:00,335,334.93,1,1,2,112,At Risk,1,Urgent Recovery
12490,10,5417.93,2011-12-04 16:07:00,4,541.793,4,4,4,444,Champions,0,Protect
12491,1,460.40000000000003,2011-11-01 12:18:00,38,460.40000000000003,3,1,2,312,Others,0,Low Priority
12492,2,263.21000000000004,2011-10-07 15:15:00,62,131.60500000000002,2,2,1,221,At Risk,0,Monitor
12493,2,433.74,2011-06-27 10:17:00,165,216.87,1,2,2,122,At Risk,1,Urgent Recovery
12494,7,1246.1000000000001,2011-11-24 09:34:00,15,178.01428571428573,4,4,3,443,Champions,0,Protect
12497,1,1043.1,2011-09-19 12:29:00,81,1043.1,2,1,3,213,At Risk,0,Monitor
12498,3,403.7,2011-11-18 12:53:00,20,134.56666666666666,3,3,2,332,Loyal Customers,0,Low Priority
12500,11,4257.82,2011-11-16 16:20:00,22,387.07454545454544,3,4,4,344,Loyal Customers,0,Low Priority
12501,1,2169.39,2011-01-07 12:28:00,336,2169.39,1,1,4,114,At Risk,1,Urgent Recovery
12502,5,3723.87,2011-09-05 11:52:00,95,744.774,2,3,4,234,Loyal Customers,1,Re-engage High Value
12504,2,482.04999999999995,2011-11-21 16:02:00,17,241.02499999999998,4,2,2,422,Others,0,Low Priority
12506,1,73.5,2011-04-21 08:54:00,232,73.5,1,1,1,111,At Risk,1,Urgent Recovery
12507,3,1304.81,2011-07-28 17:09:00,133,434.93666666666667,2,3,3,233,Loyal Customers,1,Re-engage High Value
12508,2,398.27,2011-11-13 15:37:00,25,199.135,3,2,2,322,Others,0,Low Priority
12509,1,176.5,2011-02-28 14:45:00,283,176.5,1,1,1,111,At Risk,1,Urgent Recovery
12510,2,982.5699999999999,2011-07-20 10:15:00,142,491.28499999999997,1,2,3,123,At Risk,1,Urgent Recovery
12512,2,138.03,2011-10-04 14:55:00,65,69.015,2,2,1,221,At Risk,0,Monitor
12513,1,612.29,2011-08-19 10:51:00,112,612.29,2,1,2,212,At Risk,1,Urgent Recovery
12514,1,1017.68,2011-03-17 16:38:00,266,1017.68,1,1,3,113,At Risk,1,Urgent Recovery
12515,1,383.7,2010-12-21 15:43:00,352,383.7,1,1,2,112,At Risk,1,Urgent Recovery
12516,2,1312.06,2011-09-23 09:13:00,77,656.03,2,2,3,223,At Risk,0,Monitor
12517,5,2502.84,2011-11-11 14:04:00,27,500.56800000000004,3,3,4,334,Loyal Customers,0,Low Priority
12518,5,2056.89,2011-12-09 10:13:00,0,411.378,4,3,4,434,Loyal Customers,0,Low Priority
12519,1,340.84,2011-10-07 09:26:00,63,340.84,2,1,2,212,At Risk,0,Monitor
12520,5,2634.26,2011-09-21 15:23:00,78,526.8520000000001,2,3,4,234,Loyal Customers,0,Low Priority
12521,1,599.68,2011-07-20 10:51:00,142,599.68,1,1,2,112,At Risk,1,Urgent Recovery
12522,2,192.72,2011-10-31 15:30:00,38,96.36,3,2,1,321,Others,0,Low Priority
12523,11,1789.77,2011-11-20 12:55:00,18,162.70636363636365,3,4,4,344,Loyal Customers,0,Low Priority
12524,8,4485.719999999999,2011-11-30 15:31:00,8,560.7149999999999,4,4,4,444,Champions,0,Protect
12526,3,1316.6599999999999,2011-12-09 12:09:00,0,438.8866666666666,4,3,3,433,Loyal Customers,0,Low Priority
12527,3,348.71000000000004,2011-09-19 11:55:00,81,116.23666666666668,2,3,2,232,Loyal Customers,0,Low Priority
12528,6,1933.48,2011-11-30 14:40:00,8,322.24666666666667,4,4,4,444,Champions,0,Protect
12530,4,1662.28,2011-10-11 12:34:00,59,415.57,2,3,4,234,Loyal Customers,0,Low Priority
12531,1,125.22,2011-11-25 11:12:00,14,125.22,4,1,1,411,Others,0,Low Priority
12532,1,349.83000000000004,2011-11-09 13:47:00,29,349.83000000000004,3,1,2,312,Others,0,Low Priority
12534,1,1089.18,2011-08-01 10:26:00,130,1089.18,2,1,3,213,At Risk,1,Urgent Recovery
12535,2,716.3499999999999,2011-09-09 08:48:00,91,358.17499999999995,2,2,3,223,At Risk,1,Urgent Recovery
12536,3,12601.830000000002,2011-10-27 14:20:00,42,4200.610000000001,3,3,4,334,Loyal Customers,0,Low Priority
12538,1,363.95,2011-11-10 17:16:00,28,363.95,3,1,2,312,Others,0,Low Priority
12539,4,5568.35,2011-11-17 13:30:00,21,1392.0875,3,3,4,334,Loyal Customers,0,Low Priority
12540,17,13400.24,2011-11-20 11:31:00,19,788.2494117647059,3,4,4,344,Loyal Customers,0,Low Priority
12541,3,981.18,2011-11-10 10:40:00,29,327.06,3,3,3,333,Loyal Customers,0,Low Priority
12544,1,372.7,2011-11-03 16:15:00,35,372.7,3,1,2,312,Others,0,Low Priority
12545,2,1000.39,2011-09-25 13:39:00,74,500.195,2,2,3,223,At Risk,0,Monitor
12546,2,1161.5,2011-10-24 12:09:00,46,580.75,3,2,3,323,Others,0,Low Priority
12547,2,207.8,2011-05-26 12:38:00,197,103.9,1,2,1,121,At Risk,1,Urgent Recovery
12548,1,95.19999999999999,2011-06-26 15:35:00,165,95.19999999999999,1,1,1,111,At Risk,1,Urgent Recovery
12550,1,964.83,2011-09-21 14:35:00,78,964.83,2,1,3,213,At Risk,0,Monitor
12551,1,168.0,2010-12-17 11:23:00,357,168.0,1,1,1,111,At Risk,1,Urgent Recovery
12552,2,437.82,2011-11-01 10:02:00,38,218.91,3,2,2,322,Others,0,Low Priority
12553,10,3692.2799999999997,2011-12-01 16:38:00,7,369.22799999999995,4,4,4,444,Champions,0,Protect
12556,2,603.71,2011-10-20 13:06:00,49,301.855,3,2,2,322,Others,0,Low Priority
12557,5,11990.960000000001,2011-11-23 16:59:00,15,2398.192,4,3,4,434,Loyal Customers,0,Low Priority
12558,1,269.96,2011-12-02 10:41:00,7,269.96,4,1,1,411,Others,0,Low Priority
12559,2,561.71,2011-02-02 09:49:00,310,280.855,1,2,2,122,At Risk,1,Urgent Recovery
12560,3,2134.01,2011-12-04 13:54:00,4,711.3366666666667,4,3,4,434,Loyal Customers,0,Low Priority
12561,1,238.85,2011-02-10 11:39:00,302,238.85,1,1,1,111,At Risk,1,Urgent Recovery
12562,7,3781.74,2011-12-01 17:20:00,7,540.2485714285714,4,4,4,444,Champions,0,Protect
12564,1,456.9,2011-03-23 14:55:00,260,456.9,1,1,2,112,At Risk,1,Urgent Recovery
12565,1,145.92,2011-02-24 10:34:00,288,145.92,1,1,1,111,At Risk,1,Urgent Recovery
12566,1,351.65,2011-09-14 14:30:00,85,351.65,2,1,2,212,At Risk,0,Monitor
12567,10,9401.28,2011-11-17 11:02:00,22,940.128,3,4,4,344,Loyal Customers,0,Low Priority
12569,32,4124.6900000000005,2011-12-07 16:24:00,1,128.89656250000002,4,4,4,444,Champions,0,Protect
12571,2,519.61,2011-10-31 10:19:00,39,259.805,3,2,2,322,Others,0,Low Priority
12572,2,1020.4200000000001,2011-12-01 09:20:00,8,510.21000000000004,4,2,3,423,Others,0,Low Priority
12573,1,160.54000000000002,2011-04-26 15:52:00,226,160.54000000000002,1,1,1,111,At Risk,1,Urgent Recovery
12574,1,218.45,2011-01-28 09:20:00,315,218.45,1,1,1,111,At Risk,1,Urgent Recovery
12576,5,1315.83,2011-11-04 10:11:00,35,263.166,3,3,3,333,Loyal Customers,0,Low Priority
12577,3,657.8,2011-11-04 13:24:00,34,219.26666666666665,3,3,2,332,Loyal Customers,0,Low Priority
12578,2,2794.51,2011-11-18 13:30:00,20,1397.255,3,2,4,324,Others,0,Low Priority
12579,1,440.42,2011-09-22 17:15:00,77,440.42,2,1,2,212,At Risk,0,Monitor
12580,1,415.7,2011-04-07 10:24:00,246,415.7,1,1,2,112,At Risk,1,Urgent Recovery
12581,1,197.71,2011-10-31 08:56:00,39,197.71,3,1,1,311,Others,0,Low Priority
12582,2,511.36,2011-04-15 08:45:00,238,255.68,1,2,2,122,At Risk,1,Urgent Recovery
12583,15,7281.38,2011-12-07 08:07:00,2,485.42533333333336,4,4,4,444,Champions,0,Protect
12584,9,2338.15,2011-12-06 09:35:00,3,259.7944444444445,4,4,4,444,Champions,0,Protect
12585,2,2040.1,2011-04-19 13:39:00,233,1020.05,1,2,4,124,At Risk,1,Urgent Recovery
12586,1,196.94000000000003,2011-11-22 16:24:00,16,196.94000000000003,4,1,1,411,Others,0,Low Priority
12587,1,144.0,2011-12-02 12:47:00,7,144.0,4,1,1,411,Others,0,Low Priority
12588,1,214.89999999999998,2011-10-31 15:01:00,38,214.89999999999998,3,1,1,311,Others,0,Low Priority
12589,2,646.6800000000001,2011-11-11 10:19:00,28,323.34000000000003,3,2,2,322,Others,0,Low Priority
12590,2,9864.26,2011-05-12 14:52:00,210,4932.13,1,2,4,124,At Risk,1,Urgent Recovery
12591,1,452.84999999999997,2011-01-26 14:35:00,316,452.84999999999997,1,1,2,112,At Risk,1,Urgent Recovery
12592,2,437.6,2011-09-08 15:04:00,91,218.8,2,2,2,222,At Risk,1,Urgent Recovery
12593,3,418.1,2011-08-23 12:43:00,108,139.36666666666667,2,3,2,232,Loyal Customers,1,Re-engage High Value
12594,10,3338.2200000000003,2011-11-02 12:20:00,37,333.822,3,4,4,344,Loyal Customers,0,Low Priority
12596,2,618.27,2011-10-19 13:02:00,50,309.135,3,2,2,322,Others,0,Low Priority
12597,4,3811.22,2011-11-20 13:33:00,18,952.805,3,3,4,334,Loyal Customers,0,Low Priority
12598,8,3023.08,2011-11-30 12:18:00,9,377.885,4,4,4,444,Champions,0,Protect
12599,7,1032.58,2011-11-10 13:34:00,28,147.51142857142855,3,4,3,343,Loyal Customers,0,Low Priority
12600,10,2599.04,2011-11-11 10:29:00,28,259.904,3,4,4,344,Loyal Customers,0,Low Priority
12601,5,577.06,2011-06-03 10:17:00,189,115.41199999999999,1,3,2,132,Loyal Customers,1,Re-engage High Value
12602,1,153.12,2011-10-12 11:22:00,58,153.12,2,1,1,211,At Risk,0,Monitor
12603,1,739.1999999999999,2011-11-18 10:42:00,21,739.1999999999999,3,1,3,313,Others,0,Low Priority
12604,2,254.18,2011-09-21 14:08:00,78,127.09,2,2,1,221,At Risk,0,Monitor
12607,1,1579.51,2011-10-10 16:06:00,59,1579.51,2,1,3,213,At Risk,0,Monitor
12609,3,1126.85,2011-09-22 16:34:00,77,375.6166666666666,2,3,3,233,Loyal Customers,0,Low Priority
12610,5,2099.54,2011-11-17 09:34:00,22,419.908,3,3,4,334,Loyal Customers,0,Low Priority
12611,1,1193.32,2011-10-18 13:12:00,51,1193.32,2,1,3,213,At Risk,0,Monitor
12612,1,704.0400000000001,2011-09-26 15:35:00,73,704.0400000000001,2,1,3,213,At Risk,0,Monitor
12613,5,3344.38,2011-10-13 14:59:00,56,668.876,2,3,4,234,Loyal Customers,0,Low Priority
12614,1,315.6,2011-03-07 10:22:00,277,315.6,1,1,2,112,At Risk,1,Urgent Recovery
12615,4,2291.19,2011-12-07 15:02:00,1,572.7975,4,3,4,434,Loyal Customers,0,Low Priority
12616,2,713.3,2011-09-05 15:17:00,94,356.65,2,2,3,223,At Risk,1,Urgent Recovery
12617,1,355.53,2011-11-10 14:39:00,28,355.53,3,1,2,312,Others,0,Low Priority
12618,1,177.31,2011-11-18 11:10:00,21,177.31,3,1,1,311,Others,0,Low Priority
12619,9,3641.24,2011-11-23 14:52:00,15,404.5822222222222,4,4,4,444,Champions,0,Protect
12620,3,1339.4099999999999,2011-11-25 10:20:00,14,446.46999999999997,4,3,3,433,Loyal Customers,0,Low Priority
12621,20,13689.67,2011-12-08 11:25:00,1,684.4835,4,4,4,444,Champions,0,Protect
12622,1,180.1,2011-04-21 16:39:00,231,180.1,1,1,1,111,At Risk,1,Urgent Recovery
12623,1,305.1,2011-03-08 13:50:00,275,305.1,1,1,1,111,At Risk,1,Urgent Recovery
12624,2,641.13,2011-08-25 15:04:00,105,320.565,2,2,2,222,At Risk,1,Urgent Recovery
12625,2,2683.8199999999997,2011-05-12 09:54:00,211,1341.9099999999999,1,2,4,124,At Risk,1,Urgent Recovery
12626,9,6620.48,2011-11-16 16:06:00,22,735.6088888888888,3,4,4,344,Loyal Customers,0,Low Priority
12627,7,4478.53,2011-11-29 12:07:00,10,639.79,4,4,4,444,Champions,0,Protect
12628,3,786.46,2011-12-05 13:15:00,3,262.15333333333336,4,3,3,433,Loyal Customers,0,Low Priority
12630,2,1270.88,2011-11-30 10:48:00,9,635.44,4,2,3,423,Others,0,Low Priority
12631,1,640.5,2011-10-13 13:53:00,56,640.5,2,1,2,212,At Risk,0,Monitor
12633,4,2163.98,2011-10-12 11:40:00,58,540.995,2,3,4,234,Loyal Customers,0,Low Priority
12635,2,1689.1799999999998,2011-09-11 11:04:00,89,844.5899999999999,2,2,4,224,At Risk,0,Monitor
12637,8,6021.900000000001,2011-10-03 13:46:00,66,752.7375000000001,2,4,4,244,Loyal Customers,0,Low Priority
12638,1,671.69,2011-11-06 13:11:00,32,671.69,3,1,2,312,Others,0,Low Priority
12639,1,486.1,2011-04-15 12:48:00,238,486.1,1,1,2,112,At Risk,1,Urgent Recovery
12640,3,1174.5800000000002,2011-11-16 11:52:00,23,391.5266666666667,3,3,3,333,Loyal Customers,0,Low Priority
12641,1,185.9,2011-08-16 13:26:00,114,185.9,2,1,1,211,At Risk,1,Urgent Recovery
12642,3,1013.26,2011-11-14 15:03:00,24,337.75333333333333,3,3,3,333,Loyal Customers,0,Low Priority
12643,6,3344.6400000000003,2011-08-03 12:56:00,127,557.44,2,4,4,244,Loyal Customers,1,Re-engage High Value
12644,1,477.91,2011-08-02 10:33:00,129,477.91,2,1,2,212,At Risk,1,Urgent Recovery
12645,4,1775.18,2011-11-06 12:38:00,33,443.795,3,3,4,334,Loyal Customers,0,Low Priority
12646,2,1346.9699999999998,2011-12-05 10:14:00,4,673.4849999999999,4,2,3,423,Others,0,Low Priority
12647,12,3722.8199999999997,2011-11-17 12:56:00,21,310.23499999999996,3,4,4,344,Loyal Customers,0,Low Priority
12648,1,318.05,2011-07-08 11:55:00,154,318.05,1,1,2,112,At Risk,1,Urgent Recovery
12649,3,623.51,2011-08-24 14:41:00,106,207.83666666666667,2,3,2,232,Loyal Customers,1,Re-engage High Value
12650,1,314.44,2011-12-06 16:34:00,2,314.44,4,1,2,412,Others,0,Low Priority
12651,1,114.0,2011-01-09 12:46:00,334,114.0,1,1,1,111,At Risk,1,Urgent Recovery
12652,1,919.98,2011-01-12 15:00:00,330,919.98,1,1,3,113,At Risk,1,Urgent Recovery
12653,2,2209.85,2011-07-14 10:41:00,148,1104.925,1,2,4,124,At Risk,1,Urgent Recovery
12654,5,601.98,2011-11-29 10:10:00,10,120.396,4,3,2,432,Loyal Customers,0,Low Priority
12656,5,4051.17,2011-11-22 13:42:00,16,810.234,4,3,4,434,Loyal Customers,0,Low Priority
12657,4,1643.18,2011-11-28 15:47:00,10,410.795,4,3,3,433,Loyal Customers,0,Low Priority
12658,1,686.05,2011-11-21 10:22:00,18,686.05,3,1,3,313,Others,0,Low Priority
12659,1,91.68,2011-11-10 11:53:00,29,91.68,3,1,1,311,Others,0,Low Priority
12660,1,245.1,2011-11-28 13:26:00,10,245.1,4,1,1,411,Others,0,Low Priority
12662,11,3849.78,2011-12-09 11:59:00,0,349.98,4,4,4,444,Champions,0,Protect
12664,9,4881.88,2011-12-01 17:07:00,7,542.4311111111111,4,4,4,444,Champions,0,Protect
12665,1,63.0,2011-01-19 08:34:00,324,63.0,1,1,1,111,At Risk,1,Urgent Recovery
12667,1,620.13,2011-10-12 17:00:00,57,620.13,2,1,2,212,At Risk,0,Monitor
